"","Country","Total Number of Stars","GDP","Population","Land Area(Km2)","Minimum wage","Price Rating"
"1","Afghanistan",0,19101353833,38041754,652230,0.43,NA
"2","Albania",0,15278077447,2854191,28748,1.12,NA
"3","Algeria",0,169988236398,43053054,2381741,0.95,NA
"4","Andorra",1,3154057987,77142,468,6.63,"Premium"
"5","Angola",0,94635415870,31825295,1246700,0.71,NA
"6","Antigua and Barbuda",0,1727759259,97118,443,3.04,NA
"7","Argentina",0,449663446954,44938712,2780400,3.35,NA
"8","Armenia",0,13672802158,2957731,29743,0.66,NA
"9","Australia",0,1392680589329,25766605,7741220,13.59,NA
"10","Austria",24,446314739528,8877067,83871,NA,"Pricey"
"11","Azerbaijan",0,3.9207e+10,10023318,86600,0.47,NA
"12","The Bahamas",0,1.2827e+10,389482,13880,5.25,NA
"13","Bahrain",0,38574069149,1501635,765,NA,NA
"14","Bangladesh",0,302571254131,167310838,148460,0.51,NA
"15","Barbados",0,5.209e+09,287025,430,3.13,NA
"16","Belarus",0,63080457023,9466856,207600,1.49,NA
"17","Belgium",165,529606710418,11484055,30528,10.31,"Pricey"
"18","Belize",0,1879613600,390353,22966,1.65,NA
"19","Benin",0,14390709095,11801151,112622,0.39,NA
"20","Bhutan",0,2446674101,727145,38394,0.32,NA
"21","Bolivia",0,40895322865,11513100,1098581,1.36,NA
"22","Bosnia and Herzegovina",0,20047848435,3301000,51197,1.04,NA
"23","Botswana",0,18340510789,2346179,581730,0.29,NA
"24","Brazil",16,1839758040766,212559417,8515770,1.53,NA
"25","Brunei",0,13469422941,433285,5765,NA,NA
"26","Bulgaria",0,8.6e+10,6975761,110879,1.57,NA
"27","Burkina Faso",0,15745810235,20321378,274200,0.34,NA
"28","Burundi",0,3012334882,11530580,27830,NA,NA
"29","Ivory Coast",0,58792205642,25716544,322463,0.36,NA
"30","Cape Verde",0,1981845741,483628,4033,0.68,NA
"31","Cambodia",0,27089389787,16486542,181035,NA,NA
"32","Cameroon",0,38760467033,25876380,475440,0.35,NA
"33","Canada",24,1736425629520,36991981,9984670,9.51,"Pricey"
"34","Central African Republic",0,2220307369,4745185,622984,0.37,NA
"35","Chad",0,11314951343,15946876,1284000,0.6,NA
"36","Chile",0,282318159745,18952038,756096,2,NA
"37","China",0,1.991e+13,1397715000,9596960,0.87,NA
"38","Colombia",0,323802808108,50339443,1138910,1.23,NA
"39","Comoros",0,1185728677,850886,2235,0.71,NA
"40","Republic of the Congo",0,10820591131,5380508,342000,0.88,NA
"41","Costa Rica",0,61773944174,5047561,51100,1.84,NA
"42","Croatia",11,60415553039,4067500,56594,2.92,"Pricey"
"43","Cuba",0,1.00023e+11,11333483,110860,0.05,NA
"44","Cyprus",0,24564647935,1198575,9251,NA,NA
"45","Czech Republic",2,246489245495,10669709,78867,3,"Pricey"
"46","Democratic Republic of the Congo",0,47319624204,86790567,2344858,0.18,NA
"47","Denmark",45,348078018464,5818553,43094,NA,"Pricey"
"48","Djibouti",0,3318716359,973560,23200,NA,NA
"49","Dominica",0,596033333,71808,751,1.48,NA
"50","Dominican Republic",0,88941298258,10738958,48670,0.4,NA
"51","Ecuador",0,107435665000,17373662,283561,2.46,NA
"52","Egypt",0,303175127598,100388073,1001450,NA,NA
"53","El Salvador",0,27022640000,6453553,21041,0.5,NA
"54","Equatorial Guinea",0,11026774945,1355986,28051,1.05,NA
"55","Eritrea",0,2065001626,6333135,117600,NA,NA
"56","Estonia",3,31386949981,1331824,45228,3.14,"Affordable"
"57","Eswatini",0,3791304348,1093238,17364,NA,NA
"58","Ethiopia",0,96107662398,112078730,1104300,NA,NA
"59","Fiji",0,5535548972,889953,18274,1.28,NA
"60","Finland",8,268761201365,5520314,338145,NA,"Pricey"
"61","France",751,2715518274227,67059887,643801,11.16,"Pricey"
"62","Gabon",0,16657960228,2172579,267667,1.46,NA
"63","The Gambia",0,1763819048,2347706,11300,0.13,NA
"64","Georgia",0,17743195770,3720382,69700,0.05,NA
"65","Germany",394,3845630030824,83132799,357022,9.99,"Pricey"
"66","Ghana",0,66983634224,30792608,238533,0.27,NA
"67","Greece",10,209852761469,10716322,131957,4.46,"Pricey"
"68","Grenada",0,1228170370,112003,349,NA,NA
"69","Guatemala",0,76710385880,16604026,108889,1.6,NA
"70","Guinea",0,13590281809,12771246,245857,NA,NA
"71","Guinea-Bissau",0,1340389411,1920922,36125,0.16,NA
"72","Guyana",0,4280443645,782766,214969,0.98,NA
"73","Haiti",0,8498981821,11263077,27750,0.25,NA
"74","Vatican City",0,NA,836,0,NA,NA
"75","Honduras",0,25095395475,9746117,112090,1.01,NA
"76","Hungary",11,160967157504,9769949,93028,2.62,"Pricey"
"77","Iceland",3,24188035739,361313,103000,NA,"Premium"
"78","India",0,2.611e+12,1366417754,3287263,0.3,NA
"79","Indonesia",0,1119190780753,270203917,1904569,0.48,NA
"80","Iran",0,445345282123,82913906,1648195,1.58,NA
"81","Iraq",0,234094042939,39309783,438317,1.24,NA
"82","Republic of Ireland",0,388698711348,5007069,70273,10.79,NA
"83","Israel",0,395098666122,9053300,20770,7.58,NA
"84","Italy",438,2001244392042,60297396,301340,NA,"Pricey"
"85","Jamaica",0,16458071068,2948279,10991,1.33,NA
"86","Japan",526,5081769542380,126226568,377944,6.77,"Affordable"
"87","Jordan",0,43743661972,10101694,89342,1.49,NA
"88","Kazakhstan",0,180161741180,18513930,2724900,0.41,NA
"89","Kenya",0,95503088538,52573973,580367,0.25,NA
"90","Kiribati",0,194647202,117606,811,NA,NA
"91","Kuwait",0,134761198946,4207083,17818,0.95,NA
"92","Kyrgyzstan",0,8454619608,6456900,199951,0.09,NA
"93","Laos",0,18173839128,7169455,236800,0.83,NA
"94","Latvia",0,34117202555,1912789,64589,2.8,NA
"95","Lebanon",0,53367042272,6855713,10400,2.15,NA
"96","Lesotho",0,2460072444,2125268,30355,0.41,NA
"97","Liberia",0,3070518100,4937374,111369,0.17,NA
"98","Libya",0,52076250948,6777452,1759540,1.88,NA
"99","Liechtenstein",0,6552858739,38019,160,NA,NA
"100","Lithuania",0,54219315600,2786844,65300,2.41,NA
"101","Luxembourg",10,71104919108,645397,2586,13.05,"Pricey"
"102","Madagascar",0,14083906357,26969307,587041,0.21,NA
"103","Malawi",0,7666704427,18628747,118484,0.12,NA
"104","Malaysia",4,364701517788,32447385,329847,0.93,"Affordable"
"105","Maldives",0,5729248472,530953,298,NA,NA
"106","Mali",0,17510141171,19658031,1240192,0.23,NA
"107","Malta",6,14786156563,502653,316,5.07,"Pricey"
"108","Marshall Islands",0,221278000,58791,181,2,NA
"109","Mauritania",0,7593752450,4525696,1030700,0.53,NA
"110","Mauritius",0,14180444557,1265711,2040,0.38,NA
"111","Mexico",0,1258286717125,126014024,1964375,0.49,NA
"112","Federated States of Micronesia",0,401932279,113815,702,NA,NA
"113","Moldova",0,11955435457,2657637,33851,0.31,NA
"114","Monaco",0,7184844193,38964,2,11.72,NA
"115","Mongolia",0,13852850259,3225167,1564116,0.65,NA
"116","Montenegro",0,5494736901,622137,13812,1.23,NA
"117","Morocco",0,118725279596,36910560,446550,1.6,NA
"118","Mozambique",0,14934159926,30366036,799380,0.27,NA
"119","Myanmar",0,76085852617,54045420,676578,0.39,NA
"120","Namibia",0,12366527719,2494530,824292,NA,NA
"121","Nauru",0,1.33e+08,10084,21,NA,NA
"122","Nepal",0,30641380604,28608710,147181,0.36,NA
"123","Netherlands",147,909070395161,17332850,41543,10.29,"Pricey"
"124","New Zealand",0,206928765544,4841000,268838,11.49,NA
"125","Nicaragua",0,12520915291,6545502,130370,0.54,NA
"126","Niger",0,12928145120,23310715,1267000,0.29,NA
"127","Nigeria",0,448120428859,200963599,923768,0.54,NA
"128","North Korea",0,3.21e+10,25666161,120538,NA,NA
"129","North Macedonia",0,10220781069,1836713,25713,NA,NA
"130","Norway",22,403336363636,5347896,323802,NA,"Pricey"
"131","Oman",0,76983094928,5266535,309500,4.33,NA
"132","Pakistan",0,3.044e+11,216565318,796095,0.69,NA
"133","Palau",0,283994900,18233,459,3,NA
"134","Palestinian National Authority",0,NA,NA,NA,NA,NA
"135","Panama",0,66800800000,4246439,75420,1.53,NA
"136","Papua New Guinea",0,24969611435,8776109,462840,1.16,NA
"137","Paraguay",0,38145288940,7044636,406752,1.55,NA
"138","Peru",0,226848050820,32510453,1285216,1.28,NA
"139","Philippines",0,376795508680,108116615,3e+05,1.12,NA
"140","Poland",4,592164400688,37970874,312685,2.93,"Affordable"
"141","Portugal",44,237686075635,10269417,92212,3.78,"Pricey"
"142","Qatar",0,183466208791,2832067,11586,NA,NA
"143","Romania",0,250077444017,19356544,238391,2.25,NA
"144","Russia",0,1699876578871,144373535,17098240,0.53,NA
"145","Rwanda",0,10122472590,12626950,26338,NA,NA
"146","Saint Kitts and Nevis",0,1050992593,52823,261,3.33,NA
"147","Saint Lucia",0,2122450630,182790,616,NA,NA
"148","Saint Vincent and the Grenadines",0,825385185,100455,389,1.16,NA
"149","Samoa",0,850655017,202506,2831,0.78,NA
"150","San Marino",0,1637931034,33860,61,NA,NA
"151","S�����������",0,429016605,215056,964,NA,NA
"152","Saudi Arabia",0,792966838162,34268528,2149690,3.85,NA
"153","Senegal",0,23578084052,16296364,196722,0.31,NA
"154","Serbia",0,51409167351,6944975,77474,1.57,"Cheap"
"155","Seychelles",0,1698843063,97625,455,2,NA
"156","Sierra Leone",0,3941474311,7813215,71740,0.57,NA
"157","Singapore",67,372062527489,5703569,716,NA,"Affordable"
"158","Slovakia",0,105422304976,5454073,49035,3.11,NA
"159","Slovenia",12,53742159517,2087946,20273,5.25,"Pricey"
"160","Solomon Islands",0,1425074226,669823,28896,0.4,NA
"161","Somalia",0,4720727278,15442905,637657,NA,NA
"162","South Africa",0,351431649241,58558270,1219090,NA,NA
"163","South Korea",44,2.029e+12,51709098,99720,6.49,"Affordable"
"164","South Sudan",0,11997800751,11062113,644329,NA,NA
"165","Spain",306,1394116310769,47076781,505370,5.6,"Pricey"
"166","Sri Lanka",0,84008783756,21803000,65610,0.35,NA
"167","Sudan",0,18902284476,42813238,1861484,0.41,NA
"168","Suriname",0,3985250737,581372,163820,NA,NA
"169","Sweden",24,530832908738,10285453,450295,NA,"Pricey"
"170","Switzerland",154,703082435360,8574832,41277,NA,"Pricey"
"171","Syria",0,40405006007,17070135,185180,1.02,NA
"172","Tajikistan",0,8116626794,9321018,144100,0.23,NA
"173","Tanzania",0,63177068175,58005463,947300,0.09,NA
"174","Thailand",41,543649976166,69625582,513120,1.06,"Affordable"
"175","East Timor",0,1673540300,3500000,14874,0.6,NA
"176","Togo",0,5459979417,8082366,56785,0.34,NA
"177","Tonga",0,450353314,100209,747,NA,NA
"178","Trinidad and Tobago",0,24100202834,1394973,5128,2.25,NA
"179","Tunisia",0,38797709924,11694719,163610,0.47,NA
"180","Turkey",0,754411708203,83429615,783562,3.45,NA
"181","Turkmenistan",0,40761142857,5942089,488100,0.88,NA
"182","Tuvalu",0,47271463,11646,26,NA,NA
"183","Uganda",0,34387229486,44269594,241038,0.01,NA
"184","Ukraine",0,153781069118,44385155,603550,0.84,NA
"185","United Arab Emirates",0,421142267938,9770529,83600,NA,NA
"186","United Kingdom",223,2827113184696,66834405,243610,10.13,"Pricey"
"187","United States",285,2.14277e+13,328239523,9833517,7.25,"Pricey"
"188","Uruguay",0,56045912952,3461734,176215,1.66,NA
"189","Uzbekistan",0,57921286440,33580650,447400,0.24,NA
"190","Vanuatu",0,917058851,299882,12189,1.56,NA
"191","Venezuela",0,482359318768,28515829,912050,0.01,NA
"192","Vietnam",4,261921244843,96462106,331210,0.73,"Cheap"
"193","Yemen",0,26914402224,29161922,527968,NA,NA
"194","Zambia",0,23064722446,17861030,752618,0.24,NA
"195","Zimbabwe",0,21440758800,14645468,390757,NA,NA
"196","Taiwan",56,NA,NA,NA,NA,"Affordable"
"197","Hong Kong",102,NA,NA,NA,NA,"Affordable"
"198","Macau",28,NA,NA,NA,NA,"Pricey"
"199","China Mainland",146,NA,NA,NA,NA,"Affordable"
"200","Dubai",17,NA,NA,NA,NA,"Affordable"
"201","Ireland",21,NA,NA,NA,NA,"Pricey"
"202","Türkiye",6,NA,NA,NA,NA,"Pricey"
"203","Abu Dhabi",3,NA,NA,NA,NA,"Pricey"
"204","Czechia",0,NA,NA,NA,NA,"Cheap"
